policy,candidate_budget,success_at_n,any_success_at_n,candidate_success_rate,mode_discovery_rate,successful_modes_per_sample,both_modes_discovered,localization_mae,localization_median,localization_within_one
B0_best_of_n,32,0.155,0.155,0.155,0.0775,0.00484375,0.0,,,
B1_uniform_split,32,0.44,0.44,0.169609375,0.29375,0.018359375,0.1475,,,
B2_random_split,32,0.35,0.35,0.169140625,0.2275,0.01421875,0.105,,,
proposed_bottleneck_local,32,1.0,1.0,0.429453125,0.9225,0.05765625,0.845,0.0,0.0,1.0
A_no_detection,32,0.44,0.44,0.171953125,0.3625,0.02265625,0.285,0.97,1.0,0.6875
A_wrong_early,32,0.155,0.155,0.155,0.0775,0.00484375,0.0,2.0,2.0,0.0
A_wrong_late,32,0.155,0.155,0.03875,0.0775,0.00484375,0.0,2.0,2.0,0.0
A_correct_random_operator,32,1.0,1.0,0.453828125,0.98875,0.061796875,0.9775,0.0,0.0,1.0
A_full_resampling,32,1.0,1.0,0.4928125,1.0,0.0625,1.0,0.0,0.0,1.0
A_more_samples,64,0.155,0.155,0.1549609375,0.0775,0.002421875,0.0,,,
