snapshot_id,stratum,strategy,actual_sample_nfe,budget_slack,generated_suffixes,gain_over_no_branch,score_mean_best_progress,wall_clock_seconds
1e0cfb26fd447667b1facf7f1082ed5a38e17e773b2faf047e8c031b8b780da7,hard,always_early,7200,0,64,0.008560466792193133,0.9268819346022966,46.87224008300109
1e0cfb26fd447667b1facf7f1082ed5a38e17e773b2faf047e8c031b8b780da7,hard,random,6696,504,88,0.011626001310990786,0.9299474691210943,60.86253827699875
1e0cfb26fd447667b1facf7f1082ed5a38e17e773b2faf047e8c031b8b780da7,hard,uniform_three_quantiles,6728,472,216,0.01273033790657685,0.9310518057166803,154.26015678799922
1e0cfb26fd447667b1facf7f1082ed5a38e17e773b2faf047e8c031b8b780da7,hard,oracle_local_crossfit,7200,0,80,0.011366828834877385,0.9296882966449809,55.07067538299998
21488bbdd15b9e7b78d7490ad18547fae04d693602416baa20270f7e4c2be1d0,hard,always_early,7200,0,64,0.004896243216290952,0.09468461386556704,11.716279598000256
21488bbdd15b9e7b78d7490ad18547fae04d693602416baa20270f7e4c2be1d0,hard,random,7064,136,232,0.009878808097214656,0.09966717874649074,38.629280952000045
21488bbdd15b9e7b78d7490ad18547fae04d693602416baa20270f7e4c2be1d0,hard,uniform_three_quantiles,6728,472,216,0.00739806611019217,0.09718643675946825,37.380057379999926
21488bbdd15b9e7b78d7490ad18547fae04d693602416baa20270f7e4c2be1d0,hard,oracle_local_crossfit,6848,352,112,0.006879108421171745,0.09666747907044783,20.002008499999647
28334f190fd9b999058a956dd54a3999ee41ab78963d6d3d7b185df9fd776bdd,ambiguous,always_early,7200,0,64,0.0016985341480980631,0.18248323668491687,11.534588518999954
28334f190fd9b999058a956dd54a3999ee41ab78963d6d3d7b185df9fd776bdd,ambiguous,random,6752,448,64,0.001730384409692809,0.1825150869465116,11.362010100001498
28334f190fd9b999058a956dd54a3999ee41ab78963d6d3d7b185df9fd776bdd,ambiguous,uniform_three_quantiles,6728,472,216,0.0021215890316972075,0.182906291568516,36.83759136400113
28334f190fd9b999058a956dd54a3999ee41ab78963d6d3d7b185df9fd776bdd,ambiguous,oracle_local_crossfit,6848,352,112,0.0018792184757689956,0.1826639210125878,19.676818255999024
2a18ccde7b353a56f68ec503388746930bd84289b9113acba946861497931258,ambiguous,always_early,7200,0,64,0.0015723818808595913,0.22868662496152894,11.342755226000008
2a18ccde7b353a56f68ec503388746930bd84289b9113acba946861497931258,ambiguous,random,6848,352,112,0.0011077066651108969,0.22822194974578025,18.993890006000584
2a18ccde7b353a56f68ec503388746930bd84289b9113acba946861497931258,ambiguous,uniform_three_quantiles,6728,472,216,0.001086716588002301,0.22820095966867165,38.369744417999755
2a18ccde7b353a56f68ec503388746930bd84289b9113acba946861497931258,ambiguous,oracle_local_crossfit,7064,136,72,0.0008392118542637772,0.22795345493493313,12.963862173000962
2dca320a1874d9d2eecd74ce1614a423e199d5fa4ed4b6bc3d6aaddd04a3062c,hard,always_early,7200,0,64,0.003966104302678047,0.14359190594050733,11.488147309999476
2dca320a1874d9d2eecd74ce1614a423e199d5fa4ed4b6bc3d6aaddd04a3062c,hard,random,7200,0,800,0.012638445897099837,0.15226424753492912,132.55825086599907
2dca320a1874d9d2eecd74ce1614a423e199d5fa4ed4b6bc3d6aaddd04a3062c,hard,uniform_three_quantiles,6728,472,216,0.008136456147151111,0.1477622577849804,36.949416509
2dca320a1874d9d2eecd74ce1614a423e199d5fa4ed4b6bc3d6aaddd04a3062c,hard,oracle_local_crossfit,7192,8,136,0.007700670373525259,0.14732647201135454,23.398615559999598
2ea5c12fc88f1342a3588a60dbab9f06f33566a8124a934eecc7c6b349097d08,ambiguous,always_early,7200,0,64,0.07842636128656344,0.7547271026041462,20.45313082499888
2ea5c12fc88f1342a3588a60dbab9f06f33566a8124a934eecc7c6b349097d08,ambiguous,random,7192,8,136,0.07188700600995324,0.748187747327536,39.9571025969999
2ea5c12fc88f1342a3588a60dbab9f06f33566a8124a934eecc7c6b349097d08,ambiguous,uniform_three_quantiles,6728,472,216,0.09329801002522353,0.7695987513428063,65.23335277700062
2ea5c12fc88f1342a3588a60dbab9f06f33566a8124a934eecc7c6b349097d08,ambiguous,oracle_local_crossfit,7200,0,80,0.09759683770666217,0.7738975790242449,23.260444540999742
37d4c3028ed403ed87a9db86b0ab35672b0a4b4c1307a24d50300ff705e976c6,hard,always_early,7200,0,64,1.1102230246251565e-16,0.8731322804670146,35.29706486699979
37d4c3028ed403ed87a9db86b0ab35672b0a4b4c1307a24d50300ff705e976c6,hard,random,7200,0,800,1.1102230246251565e-16,0.8731322804670146,436.4384429590009
37d4c3028ed403ed87a9db86b0ab35672b0a4b4c1307a24d50300ff705e976c6,hard,uniform_three_quantiles,6728,472,216,1.1102230246251565e-16,0.8731322804670146,123.45135311800004
